Sample,Plate,Well,Row,Col,Egg lay date,Egg lay period,Egg transfer (ET),Infection start date,Infection end date,Infection period,Infection start date - Egg lay date,No. vials made on that date,Yeast usage,Cage,Total flies collected on that date,3 cM,27 cM,Genotype (3 and 27 cM),7 cM,10.3 cM,12 cM,17 cM,Wasp primer melting temperature ,Wasp DNA amplified,8 cM,11 cM,10.7 cM,11.3 cM,11.6 cM,8.5 cM,9 cM,10 cM
417,5,A5,A,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,S,79.63772583,N,NA,NA,NA,NA,NA,NA,NA,NA
418,5,B5,B,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,5,C5,C,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,5,D5,D,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,80.97860718,N,NA,NA,NA,NA,NA,NA,NA,NA
421,5,E5,E,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,5,F5,F,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,5,G5,G,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,5,H5,H,5,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,5,A6,A,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,H,SH,S,S,S,S,78.13137054,Y,NA,NA,NA,NA,NA,NA,NA,NA
426,5,B6,B,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,5,C6,C,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,5,D6,D,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,5,E6,E,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,5,F6,F,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,5,G6,G,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,5,H6,H,6,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,5,A7,A,7,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,5,B7,B,7,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,5,C7,C,7,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,5,D7,D,7,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,5,F7,F,7,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,S,S,78.29684448,Y,NA,H,NA,H,S,NA,NA,NA
439,5,G7,G,7,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,S,81.12760162,N,NA,NA,NA,NA,NA,NA,NA,NA
442,5,B8,B,8,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,5,C8,C,8,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,5,D8,D,8,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,5,E8,E,8,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,5,F8,F,8,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,5,G8,G,8,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,81.42557526,N,NA,NA,NA,NA,NA,NA,NA,NA
449,5,A9,A,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,85.44822693,N,NA,NA,NA,NA,NA,NA,NA,NA
450,5,B9,B,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,5,C9,C,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,5,D9,D,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,H,SH,S,S,S,H,75.00016785,N,NA,NA,NA,NA,NA,NA,NA,NA
453,5,E9,E,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,5,F9,F,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,5,G9,G,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,5,H9,H,9,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
457,5,A10,A,10,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
458,5,B10,B,10,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,5,C10,C,10,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
460,5,D10,D,10,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,81.42557526,N,NA,NA,NA,NA,NA,NA,NA,NA
461,5,E10,E,10,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,78.74380493,Y,NA,NA,NA,NA,NA,NA,NA,NA
463,5,G10,G,10,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,5,H10,H,10,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
465,5,A11,A,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,5,B11,B,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,81.57456207,N,NA,NA,NA,NA,NA,NA,NA,NA
467,5,C11,C,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,78.4458313,Y,NA,NA,NA,NA,NA,NA,NA,NA
468,5,D11,D,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
469,5,E11,E,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,H,SH,S,H,H,H,78.57868195,Y,H,NA,NA,NA,NA,NA,NA,NA
470,5,F11,F,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,5,G11,G,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,5,H11,H,11,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,H,SH,S,S,S,S,78.28469849,Y,NA,NA,NA,NA,NA,NA,NA,NA
474,5,B12,B,12,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,5,C12,C,12,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,5,D12,D,12,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,NA,H,NA,81.86047363,N,NA,NA,NA,NA,NA,NA,NA,NA
477,5,E12,E,12,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,5,F12,F,12,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
479,5,G12,G,12,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
480,5,H12,H,12,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,78.4303894,Y,NA,NA,NA,NA,NA,NA,NA,NA
481,6,A1,A,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
482,6,B1,B,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
483,6,C1,C,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
484,6,D1,D,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,6,E1,E,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
486,6,F1,F,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,6,G1,G,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,6,H1,H,1,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
489,6,A2,A,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
490,6,B2,B,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,6,C2,C,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,6,D2,D,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
493,6,E2,E,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,6,F2,F,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
495,6,G2,G,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
496,6,H2,H,2,02-Feb,Overnight,02-Feb,05-Feb,06-Feb,1 day,3,55,"Plastic, no yeast",2,84,H,S,HS,H,H,H,H,78.4303894,Y,NA,NA,NA,NA,NA,NA,NA,NA
497,6,A3,A,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
498,6,B3,B,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,6,C3,C,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,S,H,SH,S,S,S,S,74.10926819,N,NA,NA,NA,NA,NA,NA,NA,NA
500,6,D3,D,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,S,HS,H,H,H,H,78.72865295,Y,NA,NA,NA,NA,NA,NA,NA,NA
501,6,E3,E,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,6,F3,F,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,6,G3,G,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,6,H3,H,3,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,6,A4,A,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,6,B4,B,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,6,C4,C,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,6,D4,D,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,6,E4,E,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,6,F4,F,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511,6,G4,G,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,6,H4,H,4,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,S,H,SH,S,S,S,S,78.28469849,Y,NA,NA,NA,NA,NA,NA,NA,NA
513,6,A5,A,5,04-Feb,Overnight,04-Feb,06-Feb,07-Feb,1 day,2,30,"Plastic, no yeast",2,17,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
514,6,B5,B,5,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
515,6,C5,C,5,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
516,6,D5,D,5,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
517,6,E5,E,5,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
518,6,F5,F,5,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
519,6,G5,G,5,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
520,6,H5,H,5,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
521,6,A6,A,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,6,B6,B,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
523,6,C6,C,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
524,6,D6,D,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
525,6,E6,E,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
526,6,F6,F,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
527,6,G6,G,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
528,6,H6,H,6,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
529,6,A7,A,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
530,6,B7,B,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,S,HS,H,H,H,H,77.98298645,Y,NA,NA,NA,NA,NA,NA,NA,NA
531,6,C7,C,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
532,6,D7,D,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,S,HS,H,S,S,S,74.55289459,N,H,NA,NA,NA,NA,H,S,S
533,6,E7,E,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
534,6,F7,F,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
535,6,G7,G,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
536,6,H7,H,7,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
537,6,A8,A,8,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
538,6,B8,B,8,05-Feb,Overnight,05-Feb,07-Feb,08-Feb,1 day,2,27,"Plastic, no yeast",2,24,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
539,6,C8,C,8,06-Feb,Overnight,06-Feb,08-Feb,10-Feb,2 days,2,37,"Plastic, no yeast",2,30,S,H,SH,S,H,H,H,78.28469849,Y,S,NA,NA,NA,NA,S,S,NA
540,6,D8,D,8,06-Feb,Overnight,06-Feb,08-Feb,10-Feb,2 days,2,37,"Plastic, no yeast",2,30,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
541,6,E8,E,8,06-Feb,Overnight,06-Feb,08-Feb,10-Feb,2 days,2,37,"Plastic, no yeast",2,30,S,S,SS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
542,6,F8,F,8,06-Feb,Overnight,06-Feb,08-Feb,10-Feb,2 days,2,37,"Plastic, no yeast",2,30,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543,6,G8,G,8,06-Feb,Overnight,06-Feb,08-Feb,10-Feb,2 days,2,37,"Plastic, no yeast",2,30,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,6,H8,H,8,06-Feb,Overnight,06-Feb,08-Feb,10-Feb,2 days,2,37,"Plastic, no yeast",2,30,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
545,6,A9,A,9,06-Feb,Overnight,06-Feb,08-Feb,10-Feb,2 days,2,37,"Plastic, no yeast",2,30,H,H,HH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
