Sample,Plate,Well,Row,Col,Egg lay (EL),Egg lay period,Egg transfer (ET),Infection (Inf),Infection end,Days of infection,Inf - Egg lay,No. vials,Yeast,Cage,Total collected,3 cM,27 cM,Genotype,Plate Label,7 cM,10 cM,12 cM,17 cM,Tm1,Wasp 1,8 cM,11 cM
1138,12,B11,B,11,15-Feb,24 hours,15-Feb,17-Feb,18-Feb,1,2,22,"Plastic, no yeast",2,36,S,H,SH,12_B11,S,S,H,H,77.99551392,Y,NA,H
1146,12,B12,B,12,15-Feb,24 hours,15-Feb,17-Feb,18-Feb,1,2,22,"Plastic, no yeast",2,36,H,S,HS,12_B12,H,H,H,S,78.27890015,Y,NA,NA
1147,12,C12,C,12,15-Feb,24 hours,15-Feb,17-Feb,18-Feb,1,2,22,"Plastic, no yeast",2,36,S,H,SH,12_C12,S,H,H,H,77.99551392,Y,NA,NA
1155,13,C1,C,1,15-Feb,24 hours,15-Feb,17-Feb,18-Feb,1,2,22,"Plastic, no yeast",2,36,S,H,SH,13_C1,S,S,S,H,74.7169342,N,NA,NA
1190,13,F5,F,5,15-Feb,24 hours,15-Feb,18-Feb,19-Feb,1,3,19,"Plastic, no yeast",2,55,S,H,SH,13_F5,H,H,H,H,78.14453888,Y,NA,NA
1191,13,G5,G,5,15-Feb,24 hours,15-Feb,18-Feb,19-Feb,1,3,19,"Plastic, no yeast",2,55,S,H,SH,13_G5,S,H,H,H,80.08187866,N,S,NA
1193,13,A6,A,6,15-Feb,24 hours,15-Feb,18-Feb,19-Feb,1,3,19,"Plastic, no yeast",2,55,H,S,HS,13_A6,NA,NA,H,NA,78.129776,Y,NA,NA
1217,13,A9,A,9,15-Feb,24 hours,15-Feb,18-Feb,19-Feb,1,3,19,"Plastic, no yeast",2,55,H,S,HS,13_A9,NA,NA,H,NA,78.129776,Y,NA,NA
1219,13,C9,C,9,15-Feb,24 hours,15-Feb,18-Feb,19-Feb,1,3,19,"Plastic, no yeast",2,55,S,H,SH,13_C9,S,H,H,NA,74.56790924,N,S,NA
1230,13,F10,F,10,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,13_F10,NA,NA,S,NA,74.41888428,N,NA,NA
1232,13,H10,H,10,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,13_H10,NA,NA,NA,NA,77.99551392,Y,NA,NA
1240,13,H11,H,11,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,13_H11,NA,H,NA,NA,74.99822235,N,NA,NA
1246,13,F12,F,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,13_F12,S,S,S,H,78.29356384,Y,NA,NA
1248,13,H12,H,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,13_H12,H,H,NA,H,78.29356384,Y,NA,NA
1254,14,F1,F,1,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_F1,H,NA,H,H,81.70868683,N,NA,NA
1263,14,G2,G,2,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_G2,H,NA,NA,H,78.42801666,Y,NA,NA
1286,14,F5,F,5,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_F5,H,NA,H,H,75.29646301,N,NA,NA
1290,14,B6,B,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_B6,H,H,H,H,78.74134827,Y,NA,NA
1292,14,D6,D,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,14_D6,NA,NA,S,NA,77.99551392,Y,NA,NA
1297,14,A7,A,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_A7,H,H,H,NA,74.42054749,N,NA,NA
1298,14,B7,B,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_B7,H,H,H,H,78.44335938,Y,NA,NA
1301,14,E7,E,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_E7,H,H,H,NA,81.27423096,N,NA,NA
1303,14,G7,G,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_G7,H,H,S,S,74.42054749,N,NA,S
1305,14,A8,A,8,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_A8,S,S,S,S,74.5695343,N,NA,NA
1306,14,B8,B,8,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,14_B8,S,S,NA,H,73.52472687,N,NA,NA
1321,14,A10,A,10,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_A10,NA,H,NA,NA,81.72120667,N,NA,NA
1324,14,D10,D,10,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_D10,H,S,S,S,81.57221985,N,S,NA
1330,14,B11,B,11,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,14_B11,S,S,S,H,78.29356384,Y,NA,NA
1334,14,F11,F,11,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,14_F11,S,S,S,S,74.86595917,N,NA,NA
1340,14,D12,D,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,14_D12,S,S,H,H,73.97026062,N,NA,S
1342,14,F12,F,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_F12,NA,H,H,NA,78.44335938,Y,NA,NA
1343,14,G12,G,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_G12,NA,H,H,NA,85.44603729,N,NA,NA
1344,14,H12,H,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,14_H12,NA,H,H,S,74.27155304,N,NA,NA
1349,15,E1,E,1,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_E1,NA,NA,NA,NA,78.29436493,Y,NA,NA
1350,15,F1,F,1,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_F1,H,H,H,NA,78.29436493,Y,NA,NA
1352,15,H1,H,1,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_H1,H,H,H,NA,78.29436493,Y,NA,NA
1356,15,D2,D,2,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_D2,NA,NA,NA,NA,73.8245697,N,NA,NA
1359,15,G2,G,2,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_G2,NA,NA,NA,NA,74.12255859,N,NA,NA
1372,15,D4,D,4,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_D4,NA,NA,NA,NA,78.14981842,Y,NA,NA
1377,15,A5,A,5,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_A5,NA,NA,H,NA,78.44779205,Y,NA,NA
1379,15,C5,C,5,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_C5,NA,NA,H,NA,78.14981842,Y,NA,NA
1385,15,A6,A,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,15_A6,NA,NA,H,NA,77.99319458,Y,NA,NA
1386,15,B6,B,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_B6,NA,H,NA,NA,81.87454987,N,NA,NA
1390,15,F6,F,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_F6,NA,NA,NA,NA,78.29880524,Y,NA,NA
1397,15,E7,E,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,15_E7,S,H,H,H,77.99319458,Y,S,NA
1400,15,H7,H,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_H7,H,NA,H,NA,78.14981842,Y,NA,NA
1409,15,A9,A,9,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_A9,NA,NA,NA,NA,74.27609253,N,NA,NA
1415,15,G9,G,9,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_G9,NA,H,H,H,78.44779205,Y,NA,NA
1422,15,F10,F,10,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,15_F10,S,S,S,NA,73.97026062,N,NA,NA
1424,15,H10,H,10,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_H10,NA,H,H,NA,78.00082397,Y,NA,NA
1425,15,A11,A,11,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_A11,NA,NA,H,NA,73.82912445,N,NA,NA
1436,15,D12,D,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,15_D12,NA,NA,H,NA,73.9781189,N,NA,NA
1449,16,A2,A,2,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_A2,H,H,H,H,80.83161926,N,NA,NA
1452,16,D2,D,2,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_D2,H,H,H,H,78.14981842,Y,NA,NA
1455,16,G2,G,2,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_G2,H,H,H,H,81.42758179,N,NA,NA
1465,16,A4,A,4,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_A4,H,H,H,NA,74.72306061,N,NA,NA
1473,16,A5,A,5,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_A5,NA,H,H,H,79.34172821,N,NA,NA
1482,16,B6,B,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_B6,NA,NA,NA,NA,74.41955566,N,NA,NA
1483,16,C6,C,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_C6,NA,NA,NA,NA,78.44160461,Y,NA,NA
1485,16,E6,E,6,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_E6,H,H,H,H,80.52711487,N,NA,NA
1491,16,C7,C,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_C7,NA,H,H,NA,78.14367676,Y,NA,NA
1495,16,G7,G,7,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_G7,H,H,H,H,78.29264069,Y,NA,NA
1500,16,D8,D,8,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,16_D8,NA,NA,NA,NA,73.82126617,N,NA,NA
1501,16,E8,E,8,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,16_E8,H,NA,H,NA,77.99319458,Y,NA,NA
1504,16,H8,H,8,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,16_H8,S,S,S,S,77.99319458,Y,NA,NA
1522,16,B11,B,11,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,16_B11,NA,NA,NA,NA,77.99319458,Y,NA,NA
1524,16,D11,D,11,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,16_D11,H,H,S,S,81.71882629,N,NA,S
1534,16,F12,F,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,16_F12,H,H,H,H,78.14218903,Y,NA,NA
1536,16,H12,H,12,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,S,H,SH,16_H12,S,H,H,H,78.14218903,Y,H,NA
1537,17,A1,A,1,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,17_A1,NA,NA,NA,NA,81.42089844,N,NA,NA
1543,17,G1,G,1,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,17_G1,H,H,H,S,78.44160461,Y,NA,NA
1547,17,C2,C,2,17-Feb,24 hours,17-Feb,20-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,328,H,S,HS,17_C2,H,H,H,S,69.35475159,N,NA,NA
1560,17,H3,H,3,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_H3,NA,NA,NA,NA,74.12162781,N,NA,NA
1566,17,F4,F,4,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_F4,NA,NA,H,NA,74.27059174,N,NA,NA
1568,17,H4,H,4,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_H4,H,H,H,H,78.44160461,Y,NA,NA
1571,17,C5,C,5,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,17_C5,S,S,S,NA,76.05622864,N,NA,NA
1577,17,A6,A,6,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,17_A6,H,H,H,H,80.07915497,N,NA,NA
1581,17,E6,E,6,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_E6,H,H,H,H,75.46231079,N,NA,NA
1584,17,H6,H,6,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_H6,H,H,H,H,78.14367676,Y,NA,NA
1589,17,E7,E,7,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_E7,NA,H,H,H,78.14367676,Y,NA,NA
1594,17,B8,B,8,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_B8,H,H,H,S,78.29264069,Y,NA,NA
1595,17,C8,C,8,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,17_C8,S,H,H,H,77.69519806,Y,S,NA
1596,17,D8,D,8,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,17_D8,S,S,H,H,75.1622467,N,NA,S
1609,17,A10,A,10,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,17_A10,NA,NA,NA,NA,74.71524811,N,NA,NA
1611,17,C10,C,10,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_C10,H,NA,H,NA,74.71853638,N,NA,NA
1632,17,H12,H,12,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,17_H12,H,H,H,H,74.42053986,N,NA,NA
1635,18,C1,C,1,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,18_C1,NA,H,NA,S,74.12253571,N,NA,NA
1640,18,H1,H,1,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,18_H1,H,S,NA,S,77.99655151,Y,NA,NA
1646,18,F2,F,2,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,18_F2,NA,H,NA,H,77.8441925,Y,NA,NA
1660,18,D4,D,4,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,18_D4,S,S,S,S,75.31954956,N,NA,NA
1671,18,G5,G,5,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,18_G5,S,H,H,H,80.83183289,N,NA,NA
1678,18,F6,F,6,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,18_F6,H,H,H,S,77.84754944,Y,NA,NA
1679,18,G6,G,6,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,18_G6,NA,H,H,H,75.91054535,N,NA,NA
1684,18,D7,D,7,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,18_D7,NA,H,H,H,73.97354126,N,NA,NA
1685,18,E7,E,7,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,S,H,SH,18_E7,NA,NA,S,S,80.53387451,N,NA,NA
1687,18,G7,G,7,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,18_G7,NA,S,NA,S,77.99655151,Y,NA,NA
1691,18,C8,C,8,18-Feb,24 hours,18-Feb,21-Feb,21-Feb,1,3,62,"Plastic, no yeast",2,161,H,S,HS,18_C8,H,H,NA,H,80.52955627,N,NA,NA
1715,18,C11,C,11,19-Feb,24 hours,19-Feb,22-Feb,25-Feb,3,3,35,"Plastic, no yeast",2,147,H,S,HS,18_C11,H,H,S,S,77.99655151,Y,NA,H
1725,18,E12,E,12,19-Feb,24 hours,19-Feb,22-Feb,25-Feb,3,3,35,"Plastic, no yeast",2,147,H,S,HS,18_E12,H,H,H,H,80.23155212,N,NA,NA
1726,18,F12,F,12,19-Feb,24 hours,19-Feb,22-Feb,25-Feb,3,3,35,"Plastic, no yeast",2,147,S,H,SH,18_F12,NA,S,S,S,78.00120544,Y,NA,NA
1831,20,G1,G,1,19-Feb,24 hours,19-Feb,22-Feb,25-Feb,3,3,35,"Plastic, no yeast",2,147,S,H,SH,20_G1,NA,H,H,H,80.53387451,N,NA,NA
1833,20,A2,A,2,19-Feb,24 hours,19-Feb,22-Feb,25-Feb,3,3,35,"Plastic, no yeast",2,147,H,S,HS,20_A2,H,H,H,S,73.82453918,N,NA,NA
1858,20,B5,B,5,19-Feb,24 hours,19-Feb,22-Feb,25-Feb,3,3,35,"Plastic, no yeast",2,147,S,H,SH,20_B5,S,H,H,H,80.53387451,N,NA,NA
1874,20,B7,B,7,20-Feb,24 hours,20-Feb,22-Feb,25-Feb,3,2,50,"Plastic, no yeast",2,61,S,H,SH,20_B7,S,S,H,H,74.27668762,N,NA,H
1876,20,D7,D,7,20-Feb,24 hours,20-Feb,22-Feb,25-Feb,3,2,50,"Plastic, no yeast",2,61,S,H,SH,20_D7,S,S,S,S,80.6828537,N,NA,NA
1884,20,D8,D,8,20-Feb,24 hours,20-Feb,22-Feb,25-Feb,3,2,50,"Plastic, no yeast",2,61,H,S,HS,20_D8,H,H,H,S,80.52955627,N,NA,NA
1904,20,H10,H,10,20-Feb,24 hours,20-Feb,22-Feb,25-Feb,3,2,50,"Plastic, no yeast",2,61,S,H,SH,20_H10,S,NA,H,H,78.44814301,Y,NA,NA
1916,20,D12,D,12,20-Feb,24 hours,20-Feb,22-Feb,25-Feb,3,2,50,"Plastic, no yeast",2,61,H,S,HS,20_D12,NA,NA,H,NA,80.3805542,N,NA,NA
1920,20,H12,H,12,20-Feb,24 hours,20-Feb,22-Feb,25-Feb,3,2,50,"Plastic, no yeast",2,61,S,H,SH,20_H12,S,NA,S,H,80.53387451,N,NA,NA
S114,S2,SB3,B,3,NA,NA,NA,14-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S2_B3,S,NA,NA,NA,74.40356445,N,NA,NA
S117,S2,SE3,E,3,NA,NA,NA,14-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S2_E3,H,H,H,H,80.68167877,N,NA,NA
S12,S1,SD2,D,2,NA,NA,NA,11-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S1_D2,H,H,H,H,78.59576416,Y,NA,NA
S121,S2,SA4,A,4,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S2_A4,S,S,NA,H,75.29803467,N,NA,NA
S130,S2,SB5,B,5,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S2_B5,S,S,S,S,78.29777527,Y,NA,NA
S141,S2,SE6,E,6,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S2_E6,H,H,NA,NA,78.13052368,Y,NA,NA
S148,S2,SD7,D,7,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S2_D7,H,H,NA,H,78.13052368,Y,NA,NA
S150,S2,SF7,F,7,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S2_F7,H,H,H,H,78.29777527,Y,NA,NA
S16,S1,SH2,H,2,NA,NA,NA,11-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S1_H2,H,H,S,S,78.29777527,Y,NA,H
S168,S2,SH9,H,9,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S2_H9,H,H,H,H,80.97966766,N,NA,NA
S174,S2,SF10,F,10,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S2_F10,S,S,NA,S,74.25448608,N,NA,NA
S176,S2,SH10,H,10,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S2_H10,H,H,H,H,78.59576416,Y,NA,NA
S179,S2,SC11,C,11,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S2_C11,S,S,S,S,78.15061188,Y,NA,NA
S185,S2,SA12,A,12,NA,NA,NA,16-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S2_A12,H,H,NA,H,77.98144531,Y,NA,NA
S19,S1,SC3,C,3,NA,NA,NA,11-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S1_C3,H,H,H,H,78.29777527,Y,NA,NA
S196,S3,SD1,D,1,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_D1,NA,NA,NA,NA,78.29956818,Y,NA,NA
S198,S3,SF1,F,1,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_F1,NA,NA,NA,NA,78.29956818,Y,NA,NA
S204,S3,SD2,D,2,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_D2,NA,NA,NA,NA,79.78916168,N,NA,NA
S206,S3,SF2,F,2,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_F2,NA,NA,NA,NA,76.66101837,N,NA,NA
S208,S3,SH2,H,2,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_H2,NA,NA,NA,NA,80.53395844,N,NA,NA
S210,S3,SB3,B,3,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_B3,NA,NA,NA,NA,78.4485321,Y,NA,NA
S217,S3,SA4,A,4,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_A4,NA,NA,NA,NA,80.08708191,N,NA,NA
S235,S3,SC6,C,6,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_C6,NA,NA,NA,NA,78.4485321,Y,NA,NA
S236,S3,SD6,D,6,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_D6,NA,NA,NA,NA,78.29956818,Y,NA,NA
S241,S3,SA7,A,7,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_A7,NA,NA,NA,NA,78.29652405,Y,NA,NA
S251,S3,SC8,C,8,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_C8,NA,NA,NA,NA,78.15061188,Y,NA,NA
S263,S3,SG9,G,9,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S3_G9,NA,NA,NA,NA,81.26117706,N,NA,NA
S265,S3,SA10,A,10,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_A10,NA,NA,NA,NA,78.29956818,Y,NA,NA
S267,S3,SC10,C,10,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_C10,NA,NA,NA,NA,78.15061188,Y,NA,NA
S268,S3,SD10,D,10,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_D10,NA,NA,NA,NA,80.53395844,N,NA,NA
S269,S3,SE10,E,10,NA,NA,NA,19-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_E10,NA,NA,NA,NA,78.29956818,Y,NA,NA
S280,S3,SH11,H,11,NA,NA,NA,20-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S3_H11,S,H,H,NA,78.13052368,Y,H,NA
S287,S3,SG12,G,12,NA,NA,NA,20-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S3_G12,NA,NA,NA,NA,78.29956818,Y,NA,NA
S35,S1,SC5,C,5,NA,NA,NA,11-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S1_C5,H,H,H,H,78.29777527,Y,NA,NA
S37,S1,SE5,E,5,NA,NA,NA,11-Nov,NA,NA,NA,NA,NA,NA,NA,H,S,HS,S1_E5,H,H,H,H,74.12594604,N,NA,NA
S52,S1,SD7,D,7,NA,NA,NA,11-Nov,NA,NA,NA,NA,NA,NA,NA,S,H,SH,S1_D7,H,NA,H,NA,75.45327759,N,NA,NA
