Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sample_type,sex,SRA Study,stock,strain,tissue
SRR1663596,WGS,GCA_000001215.1,199,1742578298,PRJNA268111,SAMN03203139,Model organism or animal,822387581,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766191,Illumina HiSeq 2000,T43A,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T43A,genomic DNA,female,SRP050151,T43A,T43A,adult
SRR1663597,WGS,GCA_000001215.1,199,1764521532,PRJNA268111,SAMN03203140,Model organism or animal,779680883,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766192,Illumina HiSeq 2000,T39,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,T45B,genomic DNA,female,SRP050151,T45B,T45B,adult
SRR1663598,WGS,GCA_000001215.1,199,1961141167,PRJNA268111,SAMN03203141,Model organism or animal,866900205,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766193,Illumina HiSeq 2000,ZH23,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZH23,genomic DNA,female,SRP050151,ZH23,ZH23,adult
SRR1663599,WGS,GCA_000001215.1,199,2046991373,PRJNA268111,SAMN03203142,Model organism or animal,942485609,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766194,Illumina HiSeq 2000,ZH26,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZH26,genomic DNA,female,SRP050151,ZH26,ZH26,adult
SRR1663600,WGS,GCA_000001215.1,199,1918905623,PRJNA268111,SAMN03203143,Model organism or animal,786748556,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766195,Illumina HiSeq 2000,ZH33,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZH33,genomic DNA,female,SRP050151,ZH33,ZH33,adult
SRR1663601,WGS,GCA_000001215.1,199,2152504093,PRJNA268111,SAMN03203144,Model organism or animal,888369894,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766196,Illumina HiSeq 2000,ZH42,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZH42,genomic DNA,female,SRP050151,ZH42,ZH42,adult
SRR1663602,WGS,GCA_000001215.1,199,1867007928,PRJNA268111,SAMN03203145,Model organism or animal,769433601,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766197,Illumina HiSeq 2000,ZS10,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZS10,genomic DNA,female,SRP050151,ZS10,ZS10,adult
SRR1663603,WGS,GCA_000001215.1,199,1954742164,PRJNA268111,SAMN03203146,Model organism or animal,889240657,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766198,Illumina HiSeq 2000,ZW09,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW09,genomic DNA,female,SRP050151,ZW09,ZW09,adult
SRR1663604,WGS,GCA_000001215.1,199,1995716245,PRJNA268111,SAMN03203147,Model organism or animal,921050545,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766199,Illumina HiSeq 2000,ZW139,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW139,genomic DNA,female,SRP050151,ZW139,ZW139,adult
SRR1663605,WGS,GCA_000001215.1,199,2029288963,PRJNA268111,SAMN03203148,Model organism or animal,940032514,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766200,Illumina HiSeq 2000,ZW140,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW140,genomic DNA,female,SRP050151,ZW140,ZW140,adult
SRR1663606,WGS,GCA_000001215.1,199,1995748434,PRJNA268111,SAMN03203149,Model organism or animal,825421618,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766201,Illumina HiSeq 2000,ZW142,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW142,genomic DNA,female,SRP050151,ZW142,ZW142,adult
SRR1663607,WGS,GCA_000001215.1,199,1838323429,PRJNA268111,SAMN03203150,Model organism or animal,757950191,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766202,Illumina HiSeq 2000,ZW144,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW144,genomic DNA,female,SRP050151,ZW144,ZW144,adult
SRR1663608,WGS,GCA_000001215.1,199,2014715719,PRJNA268111,SAMN03203151,Model organism or animal,881057245,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766203,Illumina HiSeq 2000,ZW155,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW155,genomic DNA,female,SRP050151,ZW155,ZW155,adult
SRR1663609,WGS,GCA_000001215.1,199,2022023299,PRJNA268111,SAMN03203152,Model organism or animal,895117450,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766204,Illumina HiSeq 2000,ZW177,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW177,genomic DNA,female,SRP050151,ZW177,ZW177,adult
SRR1663610,WGS,GCA_000001215.1,199,2033329807,PRJNA268111,SAMN03203153,Model organism or animal,882045217,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766205,Illumina HiSeq 2000,ZW184,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW184,genomic DNA,female,SRP050151,ZW184,ZW184,adult
SRR1663611,WGS,GCA_000001215.1,199,1943232058,PRJNA268111,SAMN03203154,Model organism or animal,863129029,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766206,Illumina HiSeq 2000,ZW185,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,ZW185,genomic DNA,female,SRP050151,ZW185,ZW185,adult
SRR1662283,WGS,GCA_000001215.1,199,2241324033,PRJNA268111,SAMN03203070,Model organism or animal,1001616298,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX765990,Illumina HiSeq 2000,B04,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B04,genomic DNA,female,SRP050151,B04,B04,adult
SRR1663534,WGS,GCA_000001215.1,199,2174722120,PRJNA268111,SAMN03203077,Model organism or animal,987707355,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766074,Illumina HiSeq 2000,B28,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B28,genomic DNA,female,SRP050151,B28,B28,adult
SRR1663535,WGS,GCA_000001215.1,199,2107834307,PRJNA268111,SAMN03203078,Model organism or animal,912501139,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766072,Illumina HiSeq 2000,B38,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B38,genomic DNA,female,SRP050151,B38,B38,adult
SRR1663536,WGS,GCA_000001215.1,199,2088651247,PRJNA268111,SAMN03203079,Model organism or animal,916719501,CORNELL,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX766073,Illumina HiSeq 2000,B42,PAIRED,unspecified,GENOMIC,Drosophila melanogaster,ILLUMINA,2015-07-22T00:00:00Z,B42,genomic DNA,female,SRP050151,B42,B42,adult
