DGRP,Replica,Wasp_Strain,Flies,Capsules,Non_Capsules,Encapsulation_Ratio,Infection_Ratio,Obs,Set,Block,Infection,Assay,Researcher_ID
59,1,G486,1,0,39,0,0.975,,14,2,,,Alex
59,2,G486,0,0,40,0,1,,14,2,,,Alex
59,3,G486,4,2,34,0.055555556,0.9,,14,2,,,Alex
338,1,G486,0,0,40,0,1,,14,2,,,Alex
338,2,G486,0,0,40,0,1,,14,2,,,Alex
338,3,G486,0,0,40,0,1,,14,2,,,Alex
350,1,G486,0,0,40,0,1,,14,2,,,Alex
373,1,G486,2,0,38,0,0.95,,14,2,,,Alex
373,2,G486,2,0,38,0,0.95,,14,2,,,Alex
373,3,G486,0,0,40,0,1,,14,2,,,Alex
437,1,G486,4,18,18,0.5,0.9,,14,2,,,Alex
437,2,G486,2,14,24,0.368421053,0.95,,14,2,,,Alex
437,3,G486,1,16,23,0.41025641,0.975,,14,2,,,Alex
441,1,G486,1,1,38,0.025641026,0.975,,14,2,,,Alex
441,2,G486,0,0,40,0,1,,14,2,,,Alex
441,3,G486,1,1,38,0.025641026,0.975,,14,2,,,Alex
508,1,G486,0,0,40,0,1,,14,2,,,Alex
508,2,G486,0,0,40,0,1,,14,2,,,Alex
508,3,G486,0,1,39,0.025,1,,14,2,,,Alex
804,1,G486,1,2,37,0.051282051,0.975,,14,2,,,Alex
804,2,G486,4,4,32,0.111111111,0.9,,14,2,,,Alex
804,3,G486,0,3,37,0.075,1,,14,2,,,Alex
853,1,G486,0,2,38,0.05,1,,14,2,,,Alex
853,2,G486,0,3,37,0.075,1,,14,2,,,Alex
853,3,G486,1,4,35,0.102564103,0.975,,14,2,,,Alex
857,1,G486,0,2,38,0.05,1,,14,2,,,Alex
857,2,G486,1,0,39,0,0.975,,14,2,,,Alex
857,3,G486,0,0,40,0,1,,14,2,,,Alex
28,1,G486,3,1,36,0.027027027,0.925,,15,2,,,Rachael
28,2,G486,7,8,25,0.242424242,0.825,,15,2,,,Sherifat
28,3,G486,13,1,26,0.037037037,0.675,,15,2,,,Rachael
32,1,G486,1,0,39,0,0.975,,15,2,,,Sherifat
32,2,G486,0,0,40,0,1,,15,2,,,Sherifat
32,3,G486,9,1,30,0.032258065,0.775,,15,2,,,Rachael
42,1,G486,1,3,36,0.076923077,0.975,,15,2,,,Sherifat
42,2,G486,1,1,38,0.025641026,0.975,,15,2,,,Rachael
239,1,G486,1,2,37,0.051282051,0.975,,15,2,,,Sherifat
239,2,G486,1,2,37,0.051282051,0.975,,15,2,,,Rachael
239,3,G486,1,3,36,0.076923077,0.975,,15,2,,,Sherifat
309,1,G486,1,1,38,0.025641026,0.975,,15,2,,,Rachael
309,2,G486,0,0,40,0,1,,15,2,,,Sherifat
381,1,G486,0,0,40,0,1,,15,2,,,Sherifat
381,2,G486,0,0,40,0,1,,15,2,,,Rachael
381,3,G486,1,2,37,0.051282051,0.975,,15,2,,,Sherifat
440,1,G486,2,14,24,0.368421053,0.95,,15,2,,,Sherifat
440,2,G486,3,2,35,0.054054054,0.925,,15,2,,,Rachael
440,3,G486,0,5,35,0.125,1,,15,2,,,Rachael
555,1,G486,0,7,33,0.175,1,,15,2,,,Sherifat
555,2,G486,1,3,36,0.076923077,0.975,,15,2,,,Rachael
555,3,G486,0,1,39,0.025,1,,15,2,,,Rachael
703,1,G486,1,3,36,0.076923077,0.975,,15,2,,,Sherifat
703,2,G486,1,1,38,0.025641026,0.975,,15,2,,,Rachael
703,3,G486,0,2,38,0.05,1,,15,2,,,Rachael
783,1,G486,1,12,27,0.307692308,0.975,,15,2,,,Rachael
783,2,G486,0,13,27,0.325,1,,15,2,,,Sherifat
783,3,G486,0,1,39,0.025,1,,15,2,,,Rachael
821,1,G486,0,0,40,0,1,,15,2,,,Sherifat
821,2,G486,4,4,32,0.111111111,0.9,,15,2,,,Rachael
821,3,G486,1,12,27,0.307692308,0.975,,15,2,,,Sherifat
843,1,G486,2,6,32,0.157894737,0.95,,15,2,,,Rachael
843,2,G486,0,13,27,0.325,1,,15,2,,,Sherifat
843,3,G486,5,8,27,0.228571429,0.875,,15,2,,,Sherifat
884,1,G486,2,12,26,0.315789474,0.95,,15,2,,,Sherifat
45,2,G486,0,1,39,0.025,1,,16,2,,,Sherifat
49,1,G486,3,1,36,0.027027027,0.925,,16,2,,,Rachael
49,2,G486,0,0,40,0,1,,16,2,,,Sherifat
49,3,G486,1,2,37,0.051282051,0.975,,16,2,,,Sherifat
75,1,G486,0,0,40,0,1,,16,2,,,Rachael
100,1,G486,1,1,38,0.025641026,0.975,,16,2,,,Sherifat
100,2,G486,0,3,37,0.075,1,,16,2,,,Rachael
177,1,G486,0,1,39,0.025,1,,16,2,,,Rachael
177,2,G486,0,1,39,0.025,1,,16,2,,,
177,3,G486,1,1,38,0.025641026,0.975,,16,2,,,Rachael
306,1,G486,0,1,39,0.025,1,,16,2,,,Sherifat
306,2,G486,1,2,37,0.051282051,0.975,,16,2,,,Sherifat
306,3,G486,0,2,38,0.05,1,,16,2,,,Rachael
307,1,G486,3,0,37,0,0.925,,16,2,,,Rachael
307,2,G486,1,3,36,0.076923077,0.975,Sheri also have this one,16,2,,,Rachael
307,3,G486,1,2,37,0.051282051,0.975,,16,2,,,Sherifat
335,1,G486,0,0,40,0,1,,16,2,,,Rachael
335,2,G486,0,0,40,0,1,,16,2,,,Sherifat
335,3,G486,8,3,29,0.09375,0.8,,16,2,,,Rachael
362,1,G486,6,1,33,0.029411765,0.85,,16,2,,,Sherifat
362,2,G486,11,2,27,0.068965517,0.725,,16,2,,,Sherifat
362,3,G486,1,1,38,0.025641026,0.975,,16,2,,,Rachael
367,2,G486,1,1,38,0.025641026,0.975,,16,2,,,Rachael
390,1,G486,1,0,39,0,0.975,,16,2,,,Rachael
390,2,G486,1,1,38,0.025641026,0.975,,16,2,,,Sherifat
390,3,G486,0,0,40,0,1,,16,2,,,Sherifat
721,1,G486,0,1,39,0.025,1,,16,2,,,Sherifat
721,2,G486,17,0,23,0,0.575,,16,2,,,Sherifat
721,3,G486,2,1,37,0.026315789,0.95,,16,2,,,Rachael
787,1,G486,1,3,36,0.076923077,0.975,,16,2,,,Sherifat
787,2,G486,2,1,37,0.026315789,0.95,,16,2,,,Rachael
787,3,G486,2,2,36,0.052631579,0.95,,16,2,,,Rachael
897,1,G486,2,2,36,0.052631579,0.95,,16,2,,,Rachael
897,2,G486,1,7,32,0.179487179,0.975,,16,2,,,Sherifat
897,3,G486,0,1,39,0.025,1,,16,2,,,Rachael
181,1,G486,0,4,36,0.1,1,,17,2,,,Alex
181,2,G486,1,0,39,0,0.975,,17,2,,,Alex
181,3,G486,1,0,39,0,0.975,,17,2,,,Alex
228,1,G486,4,1,35,0.027777778,0.9,,17,2,,,Alex
228,2,G486,8,0,32,0,0.8,,17,2,,,Alex
228,3,G486,6,1,33,0.029411765,0.85,,17,2,,,Alex
336,1,G486,0,0,40,0,1,,17,2,,,Alex
336,2,G486,2,0,38,0,0.95,,17,2,,,Alex
355,1,G486,2,1,37,0.026315789,0.95,,17,2,,,Alex
355,2,G486,0,0,40,0,1,,17,2,,,Alex
355,3,G486,3,1,36,0.027027027,0.925,,17,2,,,Alex
361,1,G486,1,2,37,0.051282051,0.975,,17,2,,,Alex
361,2,G486,0,1,39,0.025,1,,17,2,,,Alex
361,3,G486,1,8,31,0.205128205,0.975,,17,2,,,Alex
380,1,G486,2,2,36,0.052631579,0.95,,17,2,,,Alex
380,2,G486,12,3,25,0.107142857,0.7,,17,2,,,Alex
380,3,G486,8,0,32,0,0.8,,17,2,,,Alex
405,2,G486,0,0,40,0,1,,17,2,,,Alex
405,3,G486,3,1,36,0.027027027,0.925,,17,2,,,Alex
716,1,G486,7,0,33,0,0.825,,17,2,,,Alex
716,2,G486,4,1,35,0.027777778,0.9,,17,2,,,Alex
716,3,G486,8,0,32,0,0.8,,17,2,,,Alex
907,1,G486,2,4,34,0.105263158,0.95,,17,2,,,Alex
907,2,G486,0,1,39,0.025,1,,17,2,,,Alex
907,3,G486,1,3,36,0.076923077,0.975,,17,2,,,Alex
908,1,G486,1,1,38,0.025641026,0.975,,17,2,,,Alex
908,2,G486,2,0,38,0,0.95,,17,2,,,Alex
908,3,G486,3,1,36,0.027027027,0.925,,17,2,,,Alex
913,1,G486,0,0,40,0,1,,17,2,,,Alex
913,2,G486,4,4,32,0.111111111,0.9,,17,2,,,Alex
913,3,G486,2,4,34,0.105263158,0.95,,17,2,,,Alex
109,1,G486,2,0,38,0,0.95,,18,2,,,Alex
109,2,G486,2,0,38,0,0.95,,18,2,,,Alex
109,3,G486,4,1,35,0.027777778,0.9,,18,2,,,Alex
195,1,G486,1,1,38,0.025641026,0.975,,18,2,,,Alex
195,2,G486,4,0,36,0,0.9,,18,2,,,Alex
195,3,G486,1,0,39,0,0.975,,18,2,,,Alex
237,1,G486,2,1,37,0.026315789,0.95,,18,2,,,Alex
237,2,G486,3,0,37,0,0.925,,18,2,,,Alex
237,3,G486,1,0,39,0,0.975,,18,2,,,Alex
320,1,G486,3,0,37,0,0.925,,18,2,,,Alex
320,2,G486,0,1,39,0.025,1,,18,2,,,Alex
320,3,G486,9,4,27,0.129032258,0.775,,18,2,,,Alex
375,1,G486,4,2,34,0.055555556,0.9,,18,2,,,Alex
375,2,G486,8,8,24,0.25,0.8,,18,2,,,Alex
375,3,G486,0,1,39,0.025,1,,18,2,,,Alex
535,1,G486,1,0,39,0,0.975,,18,2,,,Alex
535,2,G486,0,0,40,0,1,,18,2,,,Alex
535,3,G486,2,0,38,0,0.95,,18,2,,,Alex
566,1,G486,1,23,16,0.58974359,0.975,,18,2,,,Alex
566,2,G486,5,0,35,0,0.875,,18,2,,,Alex
634,1,G486,2,0,38,0,0.95,,18,2,,,Alex
634,2,G486,2,2,36,0.052631579,0.95,,18,2,,,Alex
776,1,G486,5,1,34,0.028571429,0.875,,18,2,,,Alex
776,2,G486,4,3,33,0.083333333,0.9,,18,2,,,Alex
776,3,G486,0,2,38,0.05,1,,18,2,,,Alex
849,1,G486,2,3,35,0.078947368,0.95,,18,2,,,Alex
849,2,G486,7,1,32,0.03030303,0.825,,18,2,,,Alex
849,3,G486,2,2,36,0.052631579,0.95,,18,2,,,Alex
855,1,G486,3,6,31,0.162162162,0.925,,18,2,,,Alex
855,2,G486,0,0,40,0,1,,18,2,,,Alex
855,3,G486,6,1,33,0.029411765,0.85,,18,2,,,Alex
879,1,G486,3,1,36,0.027027027,0.925,,18,2,,,Alex
879,2,G486,4,7,29,0.194444444,0.9,,18,2,,,Alex
879,3,G486,4,4,32,0.111111111,0.9,,18,2,,,Alex
882,1,G486,0,0,40,0,1,,18,2,,,Alex
882,2,G486,1,2,37,0.051282051,0.975,,18,2,,,Alex
882,3,G486,15,0,25,0,0.625,,18,2,,,Alex
890,1,G486,9,4,27,0.129032258,0.775,,18,2,,,Alex
890,2,G486,17,0,23,0,0.575,,18,2,,,Alex
890,3,G486,8,0,32,0,0.8,,18,2,,,Alex
101,1,G486,4,2,34,0.055555556,0.9,,19,2,,,
101,2,G486,0,0,40,0,1,,19,2,,,
101,3,G486,1,0,39,0,0.975,,19,2,,,
105,1,G486,0,1,39,0.025,1,,19,2,,,
105,2,G486,0,5,35,0.125,1,,19,2,,,
105,3,G486,0,4,36,0.1,1,,19,2,,,
303,1,G486,0,0,40,0,1,,19,2,,,
303,2,G486,1,8,31,0.205128205,0.975,,19,2,,,
303,3,G486,2,4,34,0.105263158,0.95,,19,2,,,
317,1,G486,0,6,34,0.15,1,,19,2,,,
317,2,G486,1,10,29,0.256410256,0.975,,19,2,,,
317,3,G486,0,9,31,0.225,1,,19,2,,,
360,1,G486,1,0,39,0,0.975,,19,2,,,
360,2,G486,14,0,26,0,0.65,,19,2,,,
360,3,G486,5,0,35,0,0.875,,19,2,,,
385,1,G486,17,0,23,0,0.575,,19,2,,,
385,2,G486,11,0,29,0,0.725,,19,2,,,
385,3,G486,5,1,34,0.028571429,0.875,,19,2,,,
392,1,G486,1,0,39,0,0.975,,19,2,,,
392,2,G486,2,1,37,0.026315789,0.95,,19,2,,,
392,3,G486,3,0,37,0,0.925,,19,2,,,
589,1,G486,1,21,18,0.538461538,0.975,,19,2,,,
589,2,G486,3,12,25,0.324324324,0.925,,19,2,,,
589,3,G486,1,15,24,0.384615385,0.975,,19,2,,,
748,1,G486,0,2,38,0.05,1,,19,2,,,
748,2,G486,1,4,35,0.102564103,0.975,,19,2,,,
859,1,G486,3,3,34,0.081081081,0.925,,19,2,,,
859,2,G486,0,0,40,0,1,,19,2,,,
859,3,G486,3,6,31,0.162162162,0.925,,19,2,,,
894,1,G486,1,1,38,0.025641026,0.975,,19,2,,,
894,2,G486,3,1,36,0.027027027,0.925,,19,2,,,
129,1,G486,0,1,39,0.025,1,,20,2,,,
129,2,G486,0,1,39,0.025,1,,20,2,,,
129,3,G486,0,1,39,0.025,1,,20,2,,,
229,1,G486,0,3,37,0.075,1,,20,2,,,
229,2,G486,1,3,36,0.076923077,0.975,,20,2,,,
229,3,G486,0,3,37,0.075,1,,20,2,,,
319,1,G486,3,2,35,0.054054054,0.925,,20,2,,,
319,2,G486,0,4,36,0.1,1,,20,2,,,
319,3,G486,0,0,40,0,1,,20,2,,,
370,1,G486,1,0,39,0,0.975,,20,2,,,
370,2,G486,0,1,39,0.025,1,,20,2,,,
370,3,G486,0,0,40,0,1,,20,2,,,
409,1,G486,1,1,38,0.025641026,0.975,,20,2,,,
409,2,G486,2,3,35,0.078947368,0.95,,20,2,,,
409,3,G486,1,0,39,0,0.975,,20,2,,,
426,1,G486,0,4,36,0.1,1,,20,2,,,
426,2,G486,0,6,34,0.15,1,,20,2,,,
426,3,G486,0,6,34,0.15,1,,20,2,,,
427,1,G486,0,1,39,0.025,1,,20,2,,,
427,2,G486,0,0,40,0,1,,20,2,,,
427,3,G486,0,0,40,0,1,,20,2,,,
439,1,G486,1,1,38,0.025641026,0.975,,20,2,,,
439,2,G486,2,1,37,0.026315789,0.95,,20,2,,,
439,3,G486,0,0,40,0,1,,20,2,,,
513,1,G486,3,0,37,0,0.925,,20,2,,,
513,2,G486,4,0,36,0,0.9,,20,2,,,
513,3,G486,2,2,36,0.052631579,0.95,,20,2,,,
517,1,G486,1,7,32,0.179487179,0.975,,20,2,,,
517,2,G486,0,5,35,0.125,1,,20,2,,,
517,3,G486,0,1,39,0.025,1,,20,2,,,
530,1,G486,1,15,24,0.384615385,0.975,,20,2,,,
530,2,G486,0,11,29,0.275,1,,20,2,,,
530,3,G486,0,13,27,0.325,1,,20,2,,,
559,1,G486,0,1,39,0.025,1,,20,2,,,
559,2,G486,0,3,37,0.075,1,,20,2,,,
559,3,G486,0,0,40,0,1,,20,2,,,
639,1,G486,0,0,40,0,1,,20,2,,,
646,1,G486,0,0,40,0,1,,20,2,,,
808,1,G486,0,1,39,0.025,1,,20,2,,,
808,2,G486,1,1,38,0.025641026,0.975,,20,2,,,
808,3,G486,2,1,37,0.026315789,0.95,,20,2,,,
208,1,G486,0,1,39,0.025,1,,21,2,,,
208,2,G486,0,9,31,0.225,1,,21,2,,,
208,3,G486,1,0,39,0,0.975,,21,2,,,
358,1,G486,0,0,40,0,1,,21,2,,,
359,1,G486,2,5,33,0.131578947,0.95,,21,2,,,
406,1,G486,4,3,33,0.083333333,0.9,,21,2,,,
443,1,G486,0,0,40,0,1,,21,2,,,
443,2,G486,0,0,40,0,1,,21,2,,,
443,3,G486,0,0,40,0,1,,21,2,,,
705,1,G486,0,1,39,0.025,1,,21,2,,,
705,2,G486,1,0,39,0,0.975,,21,2,,,
737,1,G486,0,1,39,0.025,1,,21,2,,,
737,2,G486,3,2,35,0.054054054,0.925,,21,2,,,
737,3,G486,0,1,39,0.025,1,,21,2,,,
738,1,G486,2,1,37,0.026315789,0.95,,21,2,,,
738,2,G486,0,2,38,0.05,1,,21,2,,,
738,3,G486,0,0,40,0,1,,21,2,,,
802,1,G486,1,1,38,0.025641026,0.975,,21,2,,,
802,2,G486,0,0,40,0,1,,21,2,,,
802,3,G486,2,3,35,0.078947368,0.95,,21,2,,,
900,1,G486,0,1,39,0.025,1,,21,2,,,
900,2,G486,0,0,40,0,1,,21,2,,,
900,3,G486,0,6,34,0.15,1,,21,2,,,
189,1,G486,0,0,40,0,1,,23,2,,,
189,2,G486,1,1,38,0.025641026,0.975,,23,2,,,
189,3,G486,0,0,40,0,1,,23,2,,,
321,1,G486,2,1,37,0.026315789,0.95,,23,2,,,
321,2,G486,5,2,33,0.057142857,0.875,,23,2,,,
321,3,G486,2,0,38,0,0.95,,23,2,,,
352,1,G486,2,4,34,0.105263158,0.95,,23,2,,,
352,2,G486,12,9,19,0.321428571,0.7,,23,2,,,
352,3,G486,5,0,35,0,0.875,,23,2,,,
399,1,G486,5,14,21,0.4,0.875,,23,2,,,
399,2,G486,3,5,32,0.135135135,0.925,,23,2,,,
399,3,G486,1,7,32,0.179487179,0.975,,23,2,,,
861,1,G486,3,5,32,0.135135135,0.925,,23,2,,,
861,2,G486,0,0,40,0,1,,23,2,,,
861,3,G486,0,0,40,0,1,,23,2,,,
28,1,G486,0,0,40,0,1,,25,3,,,Rachael
45,1,G486,1,2,37,0.051282051,0.975,,25,3,,,Sherifat
45,2,G486,1,0,39,0,0.975,,25,3,,,Sherifat
45,3,G486,0,0,40,0,1,,25,3,,,Rachael
75,1,G486,2,3,35,0.078947368,0.95,,25,3,,,Rachael
75,2,G486,0,2,38,0.05,1,,25,3,,,Sherifat
75,3,G486,1,3,36,0.076923077,0.975,,25,3,,,Rachael
340,1,G486,2,1,37,0.026315789,0.95,,25,3,,,Sherifat
340,2,G486,0,0,40,0,1,,25,3,,,Rachael
340,3,G486,0,0,40,0,1,,25,3,,,Rachael
356,1,G486,3,0,37,0,0.925,,25,3,,,
374,1,G486,0,2,38,0.05,1,,25,3,,,Sherifat
379,1,G486,1,2,37,0.051282051,0.975,,25,3,,,Sherifat
379,2,G486,0,1,39,0.025,1,,25,3,,,Rachael
379,3,G486,0,1,39,0.025,1,,25,3,,,Rachael
392,1,G486,1,1,38,0.025641026,0.975,,25,3,,,Rachael
392,2,G486,1,0,39,0,0.975,,25,3,,,Rachael
392,3,G486,3,3,34,0.081081081,0.925,,25,3,,,Sherifat
790,1,G486,0,3,37,0.075,1,,25,3,,,Sherifat
790,2,G486,0,10,30,0.25,1,,25,3,,,Sherifat
790,3,G486,0,7,33,0.175,1,,25,3,,,Rachael
796,1,G486,1,3,36,0.076923077,0.975,,25,3,,,Rachael
796,2,G486,2,5,33,0.131578947,0.95,,25,3,,,Sherifat
796,3,G486,0,1,39,0.025,1,,25,3,,,Sherifat
819,1,G486,1,0,39,0,0.975,,25,3,,,Rachael
819,2,G486,0,0,40,0,1,,25,3,,,Sherifat
48,1,G486,0,1,39,0.025,1,,26,3,,,Rachael
48,2,G486,2,2,36,0.052631579,0.95,,26,3,,,Sherifat
85,1,G486,4,1,35,0.027777778,0.9,,26,3,,,Rachael
85,2,G486,3,2,35,0.054054054,0.925,,26,3,,,Rachael
85,3,G486,4,1,35,0.027777778,0.9,,26,3,,,Sherifat
93,1,G486,0,0,40,0,1,,26,3,,,Rachael
93,2,G486,0,0,40,0,1,,26,3,,,Rachael
93,3,G486,0,0,40,0,1,,26,3,,,Sherifat
229,1,G486,1,1,38,0.025641026,0.975,,26,3,,,Rachael
229,2,G486,0,1,39,0.025,1,,26,3,,,Sherifat
229,3,G486,3,0,37,0,0.925,,26,3,,,Rachael
354,1,G486,1,0,39,0,0.975,,26,3,,,Rachael
359,1,G486,1,1,38,0.025641026,0.975,,26,3,,,Rachael
359,2,G486,0,1,39,0.025,1,,26,3,,,Sherifat
359,3,G486,2,4,34,0.105263158,0.95,,26,3,,,Sherifat
406,1,G486,0,0,40,0,1,,26,3,,,Rachael
406,2,G486,0,0,40,0,1,,26,3,,,Sherifat
406,3,G486,0,0,40,0,1,,26,3,,,Rachael
551,1,G486,1,1,38,0.025641026,0.975,,26,3,,,Sherifat
551,2,G486,1,3,36,0.076923077,0.975,,26,3,,,Sherifat
551,3,G486,0,3,37,0.075,1,,26,3,,,Rachael
627,1,G486,0,0,40,0,1,,26,3,,,Rachael
627,2,G486,0,0,40,0,1,,26,3,,,Sherifat
627,3,G486,0,0,40,0,1,,26,3,,,Rachael
801,1,G486,0,0,40,0,1,,26,3,,,Sherifat
801,2,G486,1,0,39,0,0.975,,26,3,,,Sherifat
801,3,G486,0,0,40,0,1,,26,3,,,Rachael
818,1,G486,0,1,39,0.025,1,,26,3,,,Rachael
818,2,G486,1,5,34,0.128205128,0.975,,26,3,,,Sherifat
818,3,G486,0,1,39,0.025,1,,26,3,,,Sherifat
57,1,G486,0,1,39,0.025,1,,27,3,,,Sherifat
57,2,G486,5,0,35,0,0.875,,27,3,,,Rachael
57,3,G486,2,0,38,0,0.95,,27,3,,,Sherifat
100,1,G486,1,0,39,0,0.975,,27,3,,,Rachael
100,2,G486,0,2,38,0.05,1,,27,3,,,Sherifat
100,3,G486,0,3,37,0.075,1,,27,3,,,Sherifat
235,1,G486,5,1,34,0.028571429,0.875,,27,3,,,Rachael
235,2,G486,12,2,26,0.071428571,0.7,,27,3,,,Rachael
235,3,G486,0,6,34,0.15,1,,27,3,,,Sherifat
280,1,G486,2,1,37,0.026315789,0.95,,27,3,,,Rachael
280,2,G486,0,8,32,0.2,1,,27,3,,,Sherifat
280,3,G486,15,16,9,0.64,0.625,,27,3,,,Sherifat
309,1,G486,0,1,39,0.025,1,,27,3,,,Rachael
313,1,G486,10,4,26,0.133333333,0.75,,27,3,,,Rachael
313,2,G486,0,0,40,0,1,,27,3,,,Rachael
313,3,G486,1,1,38,0.025641026,0.975,,27,3,,,Sherifat
324,1,G486,3,8,29,0.216216216,0.925,,27,3,,,Rachael
324,2,G486,2,14,24,0.368421053,0.95,,27,3,,,Sherifat
375,1,G486,0,1,39,0.025,1,,27,3,,,Rachael
375,2,G486,3,8,29,0.216216216,0.925,,27,3,,,Rachael
375,3,G486,1,3,36,0.076923077,0.975,,27,3,,,Sherifat
721,1,G486,3,1,36,0.027027027,0.925,,27,3,,,Rachael
721,2,G486,1,0,39,0,0.975,,27,3,,,Sherifat
721,3,G486,1,3,36,0.076923077,0.975,,27,3,,,Rachael
820,1,G486,7,9,24,0.272727273,0.825,,27,3,,,Rachael
820,2,G486,8,12,20,0.375,0.8,,27,3,,,Sherifat
820,3,G486,4,13,23,0.361111111,0.9,,27,3,,,Sherifat
892,1,G486,0,4,36,0.1,1,,27,3,,,Rachael
892,2,G486,0,0,40,0,1,,27,3,,,Sherifat
892,3,G486,0,1,39,0.025,1,,27,3,,,Rachael
91,1,G486,7,2,31,0.060606061,0.825,,28,3,,,Rachael
91,2,G486,1,6,33,0.153846154,0.975,,28,3,,,Sherifat
91,3,G486,1,2,37,0.051282051,0.975,,28,3,,,Rachael
136,1,G486,5,0,35,0,0.875,,28,3,,,Sherifat
136,2,G486,2,0,38,0,0.95,,28,3,,,Rachael
136,3,G486,2,0,38,0,0.95,,28,3,,,Rachael
142,1,G486,1,2,37,0.051282051,0.975,,28,3,,,Sherifat
153,1,G486,0,0,40,0,1,,28,3,,,Sherifat
153,2,G486,8,0,32,0,0.8,,28,3,,,Rachael
287,1,G486,0,26,14,0.65,1,,28,3,,,Sherifat
287,2,G486,5,22,13,0.628571429,0.875,,28,3,,,Sherifat
287,3,G486,0,32,8,0.8,1,,28,3,,,Rachael
304,2,G486,0,0,40,0,1,,28,3,,,Rachael
304,3,G486,6,0,34,0,0.85,,28,3,,,Rachael
386,1,G486,2,0,38,0,0.95,,28,3,,,Rachael
386,2,G486,6,2,32,0.058823529,0.85,,28,3,,,Sherifat
386,3,G486,3,0,37,0,0.925,,28,3,,,Rachael
395,1,G486,14,3,23,0.115384615,0.65,,28,3,,,Sherifat
395,2,G486,1,0,39,0,0.975,,28,3,,,Rachael
395,3,G486,2,1,37,0.026315789,0.95,,28,3,,,Rachael
441,1,G486,0,2,38,0.05,1,,28,3,,,Sherifat
441,2,G486,0,0,40,0,1,,28,3,,,Rachael
441,3,G486,0,0,40,0,1,,28,3,,,Sherifat
505,1,G486,0,0,40,0,1,,28,3,,,Rachael
505,2,G486,1,3,36,0.076923077,0.975,,28,3,,,Sherifat
505,3,G486,0,7,33,0.175,1,,28,3,,,Sherifat
559,1,G486,5,10,25,0.285714286,0.875,,28,3,,,Sherifat
559,2,G486,2,0,38,0,0.95,,28,3,,,Rachael
634,1,G486,1,1,38,0.025641026,0.975,,28,3,,,Sherifat
634,2,G486,3,1,36,0.027027027,0.925,,28,3,,,Rachael
634,3,G486,1,2,37,0.051282051,0.975,,28,3,,,Sherifat
712,1,G486,11,5,24,0.172413793,0.725,,28,3,,,Rachael
712,2,G486,5,6,29,0.171428571,0.875,,28,3,,,Sherifat
822,1,G486,1,3,36,0.076923077,0.975,,28,3,,,Sherifat
852,1,G486,6,8,26,0.235294118,0.85,,28,3,,,Sherifat
852,2,G486,3,6,31,0.162162162,0.925,,28,3,,,Sherifat
852,3,G486,9,7,24,0.225806452,0.775,,28,3,,,Rachael
26,1,G486,0,2,38,0.05,1,,29,3,,,Sherifat
26,2,G486,0,1,39,0.025,1,,29,3,,,Sherifat
26,3,G486,0,0,40,0,1,,29,3,,,Rachael
38,1,G486,2,0,38,0,0.95,,29,3,,,Sherifat
38,2,G486,0,2,38,0.05,1,,29,3,,,Rachael
38,3,G486,0,0,40,0,1,,29,3,,,Sherifat
69,1,G486,0,1,39,0.025,1,,29,3,,,Sherifat
69,2,G486,0,0,40,0,1,,29,3,,,Rachael
69,3,G486,5,1,34,0.028571429,0.875,,29,3,,,Rachael
310,1,G486,0,1,39,0.025,1,,29,3,,,Sherifat
310,2,G486,0,1,39,0.025,1,,29,3,,,Rachael
310,3,G486,0,6,34,0.15,1,,29,3,,,Rachael
335,1,G486,1,10,29,0.256410256,0.975,,29,3,,,Rachael
335,2,G486,2,18,20,0.473684211,0.95,,29,3,,,Sherifat
335,3,G486,0,11,29,0.275,1,,29,3,,,Sherifat
350,1,G486,0,2,38,0.05,1,,29,3,,,Rachael
350,2,G486,5,5,30,0.142857143,0.875,,29,3,,,Sherifat
397,1,G486,2,5,33,0.131578947,0.95,,29,3,,,Sherifat
486,1,G486,11,3,26,0.103448276,0.725,,29,3,,,Rachael
486,2,G486,6,3,31,0.088235294,0.85,,29,3,,,Sherifat
486,3,G486,4,5,31,0.138888889,0.9,,29,3,,,Sherifat
492,1,G486,1,3,36,0.076923077,0.975,,29,3,,,Sherifat
492,2,G486,0,0,40,0,1,,29,3,,,Rachael
528,1,G486,2,2,36,0.052631579,0.95,,29,3,,,Sherifat
528,2,G486,4,4,32,0.111111111,0.9,,29,3,,,Rachael
528,3,G486,10,7,23,0.233333333,0.75,,29,3,,,Rachael
630,1,G486,2,2,36,0.052631579,0.95,,29,3,,,Rachael
630,2,G486,0,2,38,0.05,1,,29,3,,,Rachael
630,3,G486,1,0,39,0,0.975,,29,3,,,Sherifat
639,1,G486,0,0,40,0,1,,29,3,,,Rachael
639,2,G486,0,0,40,0,1,,29,3,,,Sherifat
850,1,G486,0,4,36,0.1,1,,29,3,,,Sherifat
850,2,G486,0,2,38,0.05,1,,29,3,,,Rachael
850,3,G486,5,2,33,0.057142857,0.875,,29,3,,,Rachael
85,1,G486,2,2,36,0.052631579,0.95,,30,3,,,Rachael
324,1,G486,18,6,16,0.272727273,0.55,,30,3,,,Rachael
324,2,G486,5,1,34,0.028571429,0.875,,30,3,,,Rachael
324,3,G486,1,4,35,0.102564103,0.975,,30,3,,,Rachael
340,1,G486,2,1,37,0.026315789,0.95,,30,3,,,Rachael
340,2,G486,7,0,33,0,0.825,,30,3,,,Rachael
